198162,869070,411454,646847,427039,053581,504692,220381,105615,046698,939901,248122,464819,265333,620837,876454,317092,322154,282069,239422,714426,952808,327686,318302,256556,681455,304855,019128,660765,049584,247351,978140,869656,318311,625379,332687,151091,352768,470136,814368,947788,198019,512694,951088,179528,593856,879454,151995,750792,499884
398792,307244,791309,162995,138234,862212,015222,528674,143060,539804,206294,899308,472598,428535,866022,438321,028718,776922,244889,205023,504381,493602,781628,481232,191034,154288,277527,668578,509674,478876,461226,671891,335385,923558,826772,249170,370856,620423,159528,225480,023417,093218,491634,066864,551439,469537,007291,027105,229016,338782
154143,920169,476238,096120,074161,059219,433320,097622,376037,301856,334578,734235,599781,494989,737990,118916,752590,776843,920846,314775,220243,026208,534045,174397,507076,767202,710797,210604,944459,459117,299810,790592,062471,262387,437833,936289,888945,959898,152384,182376,445833,556556,540053,945315,745961,056740,846394,306104,916060,303356
665464,632997,178768,218249,549745,679082,426252,465052,913425,927913,520429,964392,556201,959942,927619,275096,749981,445442,525058,232938,603764,559219,651256,093728,585795,108873,161276,303542,297982,225971,988962,914738,197341,497111,968618,377757,219388,823666,786472,412114,348309,571232,065219,422144,624566,080078,119984,315924,017493,846856
655658,157809,374494,856238,701904,691282,131746,327809,633135,546365,141042,866054,262840,965239,718514,713031,600008,557405,920752,415251,920841,093556,866892,484276,323885,050273,318359,040836,892371,420092,644358,641663,787517,172219,342027,490944,353808,581340,518737,815418,824542,014124,131769,842479,127395,006721,160446,151659,264266,435307
378759,745207,608965,900283,958086,772154,638882,895241,206351,022916,378145,157220,224272,110947,479450,703852,119017,709338,781475,600615,305598,191337,538369,197570,149409,910755,387015,542075,005570,932191,546106,503618,664642,762481,511826,024599,217033,178090,919711,321061,997184,945450,783501,896737,721914,533542,525725,767675,012176,358959
535488,949664,260978,965112,438747,060204,562417,260598,653839,787773,274819,929866,844685,509625,856490,425771,424032,707272,522315,752454,766709,032544,381977,028433,018468,869650,155233,203710,677141,028157,911670,718978,053228,161175,872723,405247,321034,504993,213670,957321,564803,910172,635525,858057,700990,562883,874370,251886,123841,610179
086387,946950,122122,774646,745956,429303,863562,239108,512285,692511,465186,279521,717504,462505,620774,764411,858623,025057,380430,858801,065114,137608,190189,681117,512987,440561,558863,511853,026931,943618,528789,431077,717765,561161,686123,902369,105669,777855,612629,712286,555320,295680,455709,324031,911535,974367,590319,506136,439065,291079
749364,605265,039198,552289,737686,637159,940556,754478,159504,533045,234334,166589,075279,095478,056911,146624,390699,992200,255395,831678,556291,774102,226885,882618,558085,513789,092904,564569,857987,434560,518956,586682,962866,786929,288909,030259,241730,424806,913183,645211,293998,066929,193782,052545,004202,167678,330665,855540,894290,323611
179803,514733,388409,281475,674677,988476,996691,963558,573668,125277,566252,369507,043528,692169,701203,461494,039380,816167,768737,974949,740396,781218,094056,316670,648851,145908,749127,496877,917384,624339,229398,475954,597014,619469,462392,123460,023008,341252,104792,803308,462762,651153,642576,106446,000222,975357,944732,770403,369846,546814
859741,349167,074676,329077,827694,786601,283877,599726,391371,894805,267163,929022,158547,672078,252733,115485,357678,758036,731083,358402,321770,491068,235078,735079,822285,031577,925728,870865,900631,341720,979536,679757,763958,859922,863665,480348,420364,722106,731351,847999,338247,431441,974242,142619,541750,771669,390850,133532,706142,266355
